Start Date,End Date,Brand,Conversion path,Sales,Purchases,New-to-brand product sales,New-to-brand purchases,Sponsored Brands display frequency,Sponsored Display display frequency,Amazon DSP display frequency,Sponsored Brands video frequency,Amazon DSP online video frequency,Sponsored TV Streaming TV frequency,Amazon DSP Streaming TV frequency,Amazon DSP audio frequency,Sponsored Products frequency,Sponsored Display frequency,Sponsored Display online video frequency,Currency
2026-07-17,2026-07-17,Primal Queen,Display (Sponsored Brands) > Sponsored Products > Display (Amazon DSP) > [Purchase],116.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,USD
2026-07-13,2026-07-30,Primal Queen,Sponsored Products > Display (Amazon DSP) > Display (Sponsored Brands) > [Purchase],298.0,4.0,182.0,2.0,1.75,0.0,13.75,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,USD
2026-07-03,2026-07-28,Primal Queen,Display (Amazon DSP) > Sponsored Products > Online Video (Sponsored Brands) > [Purchase],283.0,5.0,58.0,1.0,0.0,0.0,4.8,1.4,0.0,0.0,0.0,0.0,2.2,0.0,0.0,USD
2026-07-10,2026-07-10,Primal Queen,Online Video (Sponsored Brands) > Display (Amazon DSP) > Sponsored Products >  (Sponsored Display) > [Purchase],58.0,1.0,58.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,USD
2026-07-29,2026-07-29,Primal Queen,Sponsored Products > Online Video (Sponsored Brands) > Display (Sponsored Brands) > [Purchase],58.0,1.0,58.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,USD
2026-07-07,2026-07-07,Primal Queen,Display (Amazon DSP) > Display (Sponsored Brands) > [Purchase],58.0,1.0,0.0,0.0,2.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USD
2026-07-04,2026-07-31,Primal Queen,(Sponsored Display) > Display (Amazon DSP) > [Purchase],1228.0,20.0,406.0,7.0,0.0,0.0,6.65,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,USD
2026-07-03,2026-07-31,Primal Queen,Online Video (Sponsored Brands) > [Purchase],10970.0,177.0,9238.0,148.0,0.0,0.0,0.0,1.073446327683616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USD
2026-07-17,2026-07-31,Primal Queen,Online Video (Sponsored Brands) >  (Sponsored Display) > [Purchase],464.0,8.0,464.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,USD
2026-07-03,2026-07-31,Primal Queen,Online Video (Sponsored Brands) > Sponsored Products > Display (Amazon DSP) > [Purchase],813.0,14.0,581.0,10.0,0.0,0.0,2.9285714285714284,1.0714285714285714,0.0,0.0,0.0,0.0,2.142857142857143,0.0,0.0,USD
2026-07-05,2026-07-31,Primal Queen,Display (Sponsored Brands) > Sponsored Products > [Purchase],762.0,12.0,472.0,7.0,1.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,USD
2026-07-11,2026-07-11,Primal Queen,Display (Sponsored Brands) > Sponsored Products > Display (Amazon DSP) > Online Video (Sponsored Brands) > [Purchase],58.0,1.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,USD
